-106.851112667,17.6860089809,-32.4655044955,121.825860421,61.0593156662,55.0224174481,-13.3262925051,-49.1174339917,5
-106.851112667,17.6860089809,-32.4655044955,121.825860421,61.0593156662,55.0224174481,-13.3262925051,-49.1174339917,5
-106.851112667,17.6860089809,-32.4655044955,121.825860421,61.0593156662,55.0224174481,-13.3262925051,-49.1174339917,5
-106.851112667,17.6860089809,-32.4655044955,121.825860421,61.0593156662,55.0224174481,-13.3262925051,-49.1174339917,5
-73.8042378115,26.2096677199,42.0839921907,80.5074163643,90.8471420026,-23.5682637905,-25.0410879996,-77.8660124349,5
-73.8042378115,26.2096677199,42.0839921907,80.5074163643,90.8471420026,-23.5682637905,-25.0410879996,-77.8660124349,5
-44.6630332721,-8.95888351824,65.2192378696,56.6476241594,124.138438801,-42.0342877638,14.2561676597,-107.640795441,5
-44.6630332721,-8.95888351824,65.2192378696,56.6476241594,124.138438801,-42.0342877638,14.2561676597,-107.640795441,5
-44.6630332721,-8.95888351824,65.2192378696,56.6476241594,124.138438801,-42.0342877638,14.2561676597,-107.640795441,5
-44.6630332721,-8.95888351824,65.2192378696,56.6476241594,124.138438801,-42.0342877638,14.2561676597,-107.640795441,5
20.7727994526,39.9059624013,-4.06763027109,-85.6379757719,-116.81480705,-63.3295444603,-91.9743773266,62.214393713,5
20.7727994526,39.9059624013,-4.06763027109,-85.6379757719,-116.81480705,-63.3295444603,-91.9743773266,62.214393713,5
20.7727994526,39.9059624013,-4.06763027109,-85.6379757719,-116.81480705,-63.3295444603,-91.9743773266,62.214393713,5
20.7727994526,39.9059624013,-4.06763027109,-85.6379757719,-116.81480705,-63.3295444603,-91.9743773266,62.214393713,5
20.7727994526,39.9059624013,-4.06763027109,-85.6379757719,-116.81480705,-63.3295444603,-91.9743773266,62.214393713,5
20.7727994526,39.9059624013,-4.06763027109,-85.6379757719,-116.81480705,-63.3295444603,-91.9743773266,62.214393713,5
20.7727994526,39.9059624013,-4.06763027109,-85.6379757719,-116.81480705,-63.3295444603,-91.9743773266,62.214393713,5
20.7727994526,39.9059624013,-4.06763027109,-85.6379757719,-116.81480705,-63.3295444603,-91.9743773266,62.214393713,5
20.7727994526,39.9059624013,-4.06763027109,-85.6379757719,-116.81480705,-63.3295444603,-91.9743773266,62.214393713,5
